sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,variation,variation stock,variation price,tags,meta_tag,meta_description,attibutes,details,user_id,size_pre_price,size_image,short_details,youtube,slug,other_image,status,minPrice,maxPrice
AARIC00030,Imitation Jewellery,Necklace,,Tradition Goddess Lakshmi Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2020/12/Tradition-Goddess-Lakshmi-Choker-Set-01.jpg,This is a test product,1,1,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,1,1
AARIC00089,Imitation Jewellery,Necklace,,Premium Quality Designer Peacock Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Premium-Quality-Designer-Peacock-Choker-01-1-scaled.jpg,This is a test product,2,2,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,2,2
AARIC00093,Imitation Jewellery,Necklace,,Gorgeous 4 Layered AD Stone High Neck Star Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Gorgeous-4-Layered-AD-Stone-High-Neck-Star-Choker-01.jpg,This is a test product,3,3,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,3,3
AARIC00097,Imitation Jewellery,Necklace,,American Diamond Star Design Three Layered Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/12/American-Diamond-Star-Design-Three-Layered-Choker-01.jpg,This is a test product,4,4,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,4,4
AARIC00098,Imitation Jewellery,Necklace,,American Diamond Two Layered Star Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/American-Diamond-Two-Layered-Star-Design-Choker-01.jpg,This is a test product,5,5,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,5,5
AARIC00129,Imitation Jewellery,Necklace,,Traditional Wear Designer Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Traditional-Wear-Designer-Choker-Set-01-scaled.jpg,This is a test product,6,6,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,6,6
ABHIC00036,Imitation Jewellery,Necklace,,Traditional Floral Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Traditional-Floral-Design-Choker-01-scaled.jpg,This is a test product,7,7,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,7,7
ABHIC00037,Imitation Jewellery,Necklace,,Trendy Emerald & CZ Stone Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Trendy-Emerald-CZ-Stone-Choker-01-scaled.jpg,This is a test product,8,8,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,8,8
ABHIC00038,Imitation Jewellery,Necklace,,Beautiful Peacock Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Beautiful-Peacock-Design-Choker-scaled.jpg,This is a test product,9,9,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,9,9
ABHIC00039,Imitation Jewellery,Necklace,,Premium Antique Choker With Earrings,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Premium-Antique-Choker-With-Earrings-scaled.jpg,This is a test product,10,10,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,10,10
ACCIB00369,Imitation Jewellery,Necklace,,Beautiful Rose Gold AD Stone Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/04/Beautiful-Rose-Gold-AD-Stone-Bracelet-scaled.jpg,This is a test product,11,11,20,,,,"Imitation Bangles,Imitation Bracelet",,,,This is a test product,48,,,This is a test product,,,,1,11,11
ACCIB00370,Imitation Jewellery,Necklace,,Gorgeous Rose Gold AD Stone Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/04/Gorgeous-Rose-Gold-AD-Stone-Bracelet-scaled.jpg,This is a test product,12,12,20,,,,"Imitation Bangles,Imitation Bracelet",,,,This is a test product,48,,,This is a test product,,,,1,12,12
ACCIC00022,Imitation Jewellery,Necklace,,Short Antique Choker Necklace,https://shop.southindiajewels.com/wp-content/uploads/2020/01/Ruby-white-Antique-gold-finish-choker-01.jpg,This is a test product,13,13,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,48,,,This is a test product,,,,1,13,13
ACCIC00034,Imitation Jewellery,Necklace,,Traditional Beaded Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/02/Traditional-Beaded-Choker-01.jpg,This is a test product,14,14,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,48,,,This is a test product,,,,1,14,14
ADHIC00003,Imitation Jewellery,Necklace,,Beautiful Gold Beads Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Beautiful-Gold-Beads-Choker-2-scaled.jpg,This is a test product,15,15,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,15,15
ADHIC00006,Imitation Jewellery,Necklace,,Antique Green Ruby Lakshmi Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Antique-Green-Ruby-Lakshmi-Choker-2-scaled.jpg,This is a test product,16,16,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,16,16
ADHIC00007,Imitation Jewellery,Necklace,,Beautiful Ruby Lakshmi Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Beautiful-Ruby-Lakshmi-Choker-scaled.jpg,This is a test product,17,17,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,17,17
ADHIC00008,Imitation Jewellery,Necklace,,Antique Lakshmi Pearl Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Antique-Lakshmi-Pearl-Choker-scaled.jpg,This is a test product,18,18,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,18,18
ADHIC00009,Imitation Jewellery,Necklace,,Pretty Peacock Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Pretty-Peacock-Design-Choker-scaled.jpg,This is a test product,19,19,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,19,19
AJPIB00197,Imitation Jewellery,Necklace,,Classic Lakshmi Coin Bangle,https://shop.southindiajewels.com/wp-content/uploads/2020/11/Classic-Lakshmi-Coin-Bangle-2-scaled.jpg,This is a test product,20,20,20,,,,Imitation Bangles,,,,This is a test product,38,,,This is a test product,,,,1,20,20
AJPIB00305,Imitation Jewellery,Necklace,,Pretty Pink Stone Adjustable Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/02/Pretty-Pink-Stone-Adjustable-Bracelet-01-scaled.jpg,This is a test product,1,1,20,,,,Imitation Bangles,,,,This is a test product,38,,,This is a test product,,,,1,1,1
AJPIB00307,Imitation Jewellery,Necklace,,Beautiful Green Stone Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/02/Beautiful-Green-Stone-Bracelet-01-scaled.jpg,This is a test product,2,2,20,,,,Imitation Bangles,,,,This is a test product,38,,,This is a test product,,,,1,2,2
AJPIB00336,Imitation Jewellery,Necklace,,Classy Flexible Openable Bangle,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Classy-Flexible-Openable-Bangle-scaled.jpg,This is a test product,3,3,20,,,,Imitation Bangles,,,,This is a test product,38,,,This is a test product,,,,1,3,3
AJPIC00005,Imitation Jewellery,Necklace,,Sparkling Grand Premium Matte Finish Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/07/Sparkling-Grand-Premium-Matte-Finish-Choker-scaled.jpg,This is a test product,4,4,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,38,,,This is a test product,,,,1,4,4
ANAIC00034,Imitation Jewellery,Necklace,,Grand CZ Stone Choker with Jhumkas,https://shop.southindiajewels.com/wp-content/uploads/2020/08/Grand-CZ-Stone-Choker-with-Jhumkas-scaled.jpg,This is a test product,5,5,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,58,,,This is a test product,,,,1,5,5
ANAIC00042,Imitation Jewellery,Necklace,,Beautiful Matte Finish Choker with Jhumka,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Beautiful-Matte-Finish-Choker-with-Jhumka-01-scaled.jpg,This is a test product,6,6,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,58,,,This is a test product,,,,1,6,6
ANAIC00050,Imitation Jewellery,Necklace,,Classic Peacock CZ Choker with Jhumka,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Classic-Peacock-CZ-Choker-with-Jhumka-01-scaled.jpg,This is a test product,7,7,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,58,,,This is a test product,,,,1,7,7
ANAIC00074,Imitation Jewellery,Necklace,,Gorgeous Imitation Choker with Jhumkas,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Gorgeous-Imitation-Choker-with-Jhumkas-01-scaled.jpg,This is a test product,8,8,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,58,,,This is a test product,,,,1,8,8
ANAIC00119,Imitation Jewellery,Necklace,,Fancy Diamond Alike Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/10/Fancy-Diamond-Alike-Choker-01-scaled.jpg,This is a test product,9,9,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,58,,,This is a test product,,,,1,9,9
ANIIC00001,Imitation Jewellery,Necklace,,Five Layered Ruby Beads AD Stone Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Five-Layered-Ruby-Beads-AD-Stone-Choker-01-scaled.jpg,This is a test product,10,10,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,41,,,This is a test product,,,,1,10,10
ANIIC00008,Imitation Jewellery,Necklace,,Designer AD Stone Grid Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Designer-AD-Stone-Grid-Choker-01-scaled.jpg,This is a test product,11,11,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,41,,,This is a test product,,,,1,11,11
ANIIC00009,Imitation Jewellery,Necklace,,Pretty Floral Chakra Pendant Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Pretty-Floral-Chakra-Pendant-Choker-01.jpg,This is a test product,12,12,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,41,,,This is a test product,,,,1,12,12
ANIIC00011,Imitation Jewellery,Necklace,,Pretty Matte Peacock Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Pretty-Matte-Peacock-Choker-Set-01.jpg,This is a test product,13,13,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,41,,,This is a test product,,,,1,13,13
ANIIC00025,Imitation Jewellery,Necklace,,Matte Finish Cutwork Choker with AD Stones,https://shop.southindiajewels.com/wp-content/uploads/2020/07/Matte-Finish-Cutwork-Choker-with-AD-Stones-03.jpg,This is a test product,14,14,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,41,,,This is a test product,,,,1,14,14
ARJIC00030,Imitation Jewellery,Necklace,,Grand Bridal Pure Kemp Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Grand-Bridal-Pure-Kemp-Choker-01-scaled.jpg,This is a test product,15,15,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,57,,,This is a test product,,,,1,15,15
ARJIC00032,Imitation Jewellery,Necklace,,Beautiful Kemp Stone Peacock Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/10/Beautiful-Kemp-Stone-Peacock-Design-Choker-01-scaled.jpg,This is a test product,16,16,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,57,,,This is a test product,,,,1,16,16
ARJIC00039,Imitation Jewellery,Necklace,,Beautiful Lakshmi Pendant Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Beautiful-Lakshmi-Pendant-Choker-07-scaled.jpg,This is a test product,17,17,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,57,,,This is a test product,,,,1,17,17
ARJIC00049,Imitation Jewellery,Necklace,,Traditional Wear Lakshmi Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Traditional-Wear-Lakshmi-Design-Choker-01-1-scaled.jpg,This is a test product,18,18,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,57,,,This is a test product,,,,1,18,18
ARJIC00051,Imitation Jewellery,Necklace,,Elegant High Neck Mini Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Elegant-High-Neck-Mini-Choker-01-1-scaled.jpg,This is a test product,19,19,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,57,,,This is a test product,,,,1,19,19
ARSI000662,Imitation Jewellery,Necklace,,Beautiful Gold Finish Semi Bridal Combo Set,https://shop.southindiajewels.com/wp-content/uploads/2021/06/Beautiful-Gold-Finish-Semi-Bridal-Combo-Set-scaled.jpg,This is a test product,20,20,20,,,,Imitation Jewellery Sets,,,,This is a test product,47,,,This is a test product,,,,1,20,20
ARSIB00257,Imitation Jewellery,Necklace,,Imitation Openable Free Size Bracelet Bangle,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Imitation-Openable-Free-Size-Bangle-02-scaled.jpg,This is a test product,1,1,20,,,,Imitation Bangles,,,,This is a test product,47,,,This is a test product,,,,1,1,1
ARSIB00313,Imitation Jewellery,Necklace,,Gorgeous Multi Stone AD Peacock Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2020/11/Gorgeous-Multi-Stone-AD-Peacock-Bracelet-3-scaled.jpg,This is a test product,2,2,20,,,,Imitation Bangles,,,,This is a test product,47,,,This is a test product,,,,1,2,2
ARSIB00648,Imitation Jewellery,Necklace,,Beautiful Flower Design Openable Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/06/Beautiful-Flower-Design-Openable-Bracelet-scaled.jpg,This is a test product,3,3,20,,,,"Imitation Bangles,Imitation Bracelet",,,,This is a test product,47,,,This is a test product,,,,1,3,3
ARSIB00649,Imitation Jewellery,Necklace,,Unique Flower Design Openable Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/06/Unique-Flower-Design-Openable-Bracelet-scaled.jpg,This is a test product,4,4,20,,,,"Imitation Bangles,Imitation Bracelet",,,,This is a test product,47,,,This is a test product,,,,1,4,4
CHEI0N0333,Imitation Jewellery,Necklace,,Elegant CZ Stone Necklace,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Elegant-CZ-Stone-Necklace.jpg,This is a test product,5,5,20,,,,Imitation Necklace,,,,This is a test product,40,,,This is a test product,,,,1,5,5
CHEIB00208,Imitation Jewellery,Necklace,,Beautiful Designer CZ Stone Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/02/Beautiful-Designer-CZ-Stone-Bracelet-01.jpg,This is a test product,6,6,20,,,,Imitation Bangles,,,,This is a test product,40,,,This is a test product,,,,1,6,6
CHEIC00060,Imitation Jewellery,Necklace,,Cute Matte Finish Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/12/Cute-Matte-Finish-Choker.jpg,This is a test product,7,7,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,40,,,This is a test product,,,,1,7,7
CHEIC00066,Imitation Jewellery,Necklace,,Unique CZ Stone Choker with Earrings,https://shop.southindiajewels.com/wp-content/uploads/2020/12/Unique-CZ-Stone-Choker-with-Earrings-01.jpg,This is a test product,8,8,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,40,,,This is a test product,,,,1,8,8
CHEIC00068,Imitation Jewellery,Necklace,,Beautiful CZ Stone Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/12/Beautiful-CZ-Stone-Choker.jpg,This is a test product,9,9,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,40,,,This is a test product,,,,1,9,9
DAJIC00003,Imitation Jewellery,Necklace,,Real Kemp Hasli Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2021/06/Real-Kemp-Hasli-Choker-Set-01-scaled.jpg,This is a test product,10,10,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,66,,,This is a test product,,,,1,10,10
DAJIC00016,Imitation Jewellery,Necklace,,Royal Flower Design AD Stone Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/06/Royal-Flower-Design-AD-Stone-Choker-3.jpg,This is a test product,11,11,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,66,,,This is a test product,,,,1,11,11
DAJIC00019,Imitation Jewellery,Necklace,,Grand Rhodium Finish Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2021/06/Grand-Rhodium-Finish-Choker-Set-3.jpg,This is a test product,12,12,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,66,,,This is a test product,,,,1,12,12
DAJIC00022,Imitation Jewellery,Necklace,,Elegant Matte Finish Red & Green Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/06/Elegant-Matte-Finish-Choker-With-RedGreen-Stones-And-Pearls..jpg,This is a test product,13,13,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,66,,,This is a test product,,,,1,13,13
DAJIC00023,Imitation Jewellery,Necklace,,Exquisite Matte Finish Kemp Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/07/Exquisite-Matte-Finish-Kemp-Choker-3-scaled.jpg,This is a test product,14,14,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,66,,,This is a test product,,,,1,14,14
GLIIC00012,Imitation Jewellery,Necklace,,Beautiful Guttapusalu Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/04/Beautiful-Guttapusalu-Choker-scaled.jpg,This is a test product,20,20,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,64,,,This is a test product,,,,1,20,20
GLIIC00014,Imitation Jewellery,Necklace,,Elegant Real Kemp Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/04/Elegant-Real-Kemp-Choker-scaled.jpg,This is a test product,1,1,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,64,,,This is a test product,,,,1,1,1
GLIIC00090,Imitation Jewellery,Necklace,,Conventional Matte Finish Pearl Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/05/Conventional-Matte-Finish-Pearl-Choker-2-scaled.jpg,This is a test product,2,2,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,64,,,This is a test product,,,,1,2,2
GLIIC00091,Imitation Jewellery,Necklace,,Antique Lakshmi Design Pearl Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/05/Antique-Lakshmi-Design-Pearl-Choker-2-scaled.jpg,This is a test product,3,3,20,,,,Imitation Choker,,,,This is a test product,64,,,This is a test product,,,,1,3,3
GLIIC00092,Imitation Jewellery,Necklace,,Stylish Matte Finish Lakshmi Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/05/Stylish-Matte-Finish-Lakshmi-Choker-2-scaled.jpg,This is a test product,4,4,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,64,,,This is a test product,,,,1,4,4
HAMSC00002,Imitation Jewellery,Necklace,,Gold Plated Silver Lakshmi Pendant Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/08/2_1-min-scaled.jpg,This is a test product,5,5,20,,,,Gold Plated Silver choker,,,,This is a test product,52,,,This is a test product,,,,1,5,5
HAMSC00005,Imitation Jewellery,Necklace,,Real Kemp Green Stone Gold Plated Silver Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/08/6_1-min.jpeg,This is a test product,6,6,20,,,,Gold Plated Silver choker,,,,This is a test product,52,,,This is a test product,,,,1,6,6
HAMSC00008,Imitation Jewellery,Necklace,,Silver Gold Plated Mango Paisley Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/08/Silver-Gold-Plated-Mango-Paisley-Choker-01-scaled.jpg,This is a test product,7,7,20,,,,Silver Choker,,,,This is a test product,52,,,This is a test product,,,,1,7,7
HAMSC00017,Imitation Jewellery,Necklace,,Contemporary Stone Silver Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/08/Contemporary-Stone-Silver-Choker-01-scaled.jpg,This is a test product,8,8,20,,,,Silver Choker,,,,This is a test product,52,,,This is a test product,,,,1,8,8
HAMSC00022,Imitation Jewellery,Necklace,,Gorgeous Peacock Guttapusalu Silver Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/08/Gorgeous-Peacock-Guttapusalu-Silver-Choker-01-scaled.jpg,This is a test product,9,9,20,,,,Silver Choker,,,,This is a test product,52,,,This is a test product,,,,1,9,9
KATIB00222,Imitation Jewellery,Necklace,,Elegant Elephant Guttapusalu Bangles,https://shop.southindiajewels.com/wp-content/uploads/2021/02/Elegant-Elephant-Guttapusalu-Bangles-2-scaled.jpg,This is a test product,15,15,20,,,,Imitation Bangles,,,,This is a test product,45,,,This is a test product,,,,1,15,15
KATIC00001,Imitation Jewellery,Necklace,,Statement Choker Necklace,https://shop.southindiajewels.com/wp-content/uploads/2019/11/1-Statement-choker-necklace-for-sarees-2-scaled.jpg,This is a test product,16,16,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,45,,,This is a test product,,,,1,16,16
KATIC00007,Imitation Jewellery,Necklace,,Kemp Choker Necklace Set,https://shop.southindiajewels.com/wp-content/uploads/2020/08/Kemp-Choker-Necklace-Set-01-1.jpg,This is a test product,17,17,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,45,,,This is a test product,,,,1,17,17
KATIC00068,Imitation Jewellery,Necklace,,Green Beaded Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2020/02/Green-Beaded-Choker-Set-01-scaled.jpg,This is a test product,18,18,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,45,,,This is a test product,,,,1,18,18
KATIC00069,Imitation Jewellery,Necklace,,Kemp Guttapusalu Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2020/02/Kemp-Guttapusalu-Choker-Set-scaled.jpg,This is a test product,19,19,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,45,,,This is a test product,,,,1,19,19
NIRDB00001,Imitation Jewellery,Necklace,,Unique Evil Eye White Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/07/Unique-Evil-Eye-White-Bracelet-01.jpg,This is a test product,5,5,20,,,,"Designer Bracelet,Sterling Silver Jewellery",,,,This is a test product,72,,,This is a test product,,,,1,5,5
NIRDB00012,Imitation Jewellery,Necklace,,Classic Single Pearl Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/07/Classic-Single-Pearl-Bracelet-scaled.jpg,This is a test product,6,6,20,,,,"Designer Bracelet,Sterling Silver Jewellery",,,,This is a test product,72,,,This is a test product,,,,1,6,6
NIRDB00015,Imitation Jewellery,Necklace,,Gorgeous Tahitian Single Pearl Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/07/Gorgeous-Tahitian-Single-Pearl-Bracelet-scaled.jpg,This is a test product,7,7,20,,,,"Designer Bracelet,Sterling Silver Jewellery",,,,This is a test product,72,,,This is a test product,,,,1,7,7
NIRDB00017,Imitation Jewellery,Necklace,,Stunning Black Pearl Stud,https://shop.southindiajewels.com/wp-content/uploads/2021/07/Stunning-Black-Pearl-Stud-1-scaled.jpg,This is a test product,8,8,20,,,,"Designer Earrings,Sterling Silver Jewellery",,,,This is a test product,72,,,This is a test product,,,,1,8,8
NIRDB00036,Imitation Jewellery,Necklace,,Stunning Cocktail Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/07/Stunning-Cocktail-Bracelet.jpg,This is a test product,9,9,20,,,,"Designer Bracelet,Sterling Silver Jewellery",,,,This is a test product,72,,,This is a test product,,,,1,9,9
PRAIC00091,Imitation Jewellery,Necklace,,Beautiful Matte Finish Kemp Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Beautiful-Matte-Finish-Kemp-Choker-01.jpg,This is a test product,10,10,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,67,,,This is a test product,,,,1,10,10
PRAIE00009,Imitation Jewellery,Necklace,,Unique Venkatachalapathi Earrings,https://shop.southindiajewels.com/wp-content/uploads/2020/10/Unique-Venkatachalapathi-Earrings-01.jpg,This is a test product,11,11,20,,,,Imitation Earrings,,,,This is a test product,67,,,This is a test product,,,,1,11,11
